short_ema,long_ema,adx_period,adx_threshold,chop_period,chop_threshold,final_balance
9,21,10,20,14,38,996.6964800925316
9,21,10,20,14,50,1099.425316247655
9,21,10,20,14,62,1059.0226891780906
9,21,10,20,20,38,1008.5345768523295
9,21,10,20,20,50,1041.8827490902024
9,21,10,20,20,62,1060.5794222013521
9,21,10,20,28,38,1039.8420398826197
9,21,10,20,28,50,1105.0646542588981
9,21,10,20,28,62,1048.7361351281304
9,21,10,25,14,38,1004.9872081643002
9,21,10,25,14,50,1081.0525312979987
9,21,10,25,14,62,1026.14246270636
9,21,10,25,20,38,1046.5471081815606
9,21,10,25,20,50,1018.3630705160009
9,21,10,25,20,62,1041.771327776916
9,21,10,25,28,38,1035.1803607270824
9,21,10,25,28,50,1120.6071004916496
9,21,10,25,28,62,1025.5657755039
9,21,10,30,14,38,1038.640187436663
9,21,10,30,14,50,1117.3827590171397
9,21,10,30,14,62,1109.397371149238
9,21,10,30,20,38,1030.5290110535457
9,21,10,30,20,50,1050.545336408562
9,21,10,30,20,62,1128.260406805175
9,21,10,30,28,38,1040.9802671218176
9,21,10,30,28,50,1160.3371693956212
9,21,10,30,28,62,1118.1165290057281
9,21,10,50,14,38,1193.613481414292
9,21,10,50,14,50,1007.6375913105331
9,21,10,50,14,62,1019.7891222559965
9,21,10,50,20,38,1159.1954192549092
9,21,10,50,20,50,1063.0278380283785
9,21,10,50,20,62,1031.5717927385429
9,21,10,50,28,38,1127.3845880700776
9,21,10,50,28,50,1070.569244250488
9,21,10,50,28,62,1032.962673259476
9,21,14,20,14,38,1044.9539294125352
9,21,14,20,14,50,1104.2954213029159
9,21,14,20,14,62,1053.1904841849534
9,21,14,20,20,38,1033.4124779262252
9,21,14,20,20,50,1038.4059228648096
9,21,14,20,20,62,1042.8815765765673
9,21,14,20,28,38,1013.8121980411285
9,21,14,20,28,50,1062.2294445004502
9,21,14,20,28,62,1046.463560460346
9,21,14,25,14,38,1038.7219964244273
9,21,14,25,14,50,1122.0732852470253
9,21,14,25,14,62,1037.7407957521023
9,21,14,25,20,38,1057.0162686680005
9,21,14,25,20,50,1054.2590504710006
9,21,14,25,20,62,1044.4100740961458
9,21,14,25,28,38,1038.4329903860958
9,21,14,25,28,50,1104.5892693468172
9,21,14,25,28,62,1043.1376850079225
9,21,14,30,14,38,1020.3452752811332
9,21,14,30,14,50,1088.0232304691017
9,21,14,30,14,62,1079.0228574256992
9,21,14,30,20,38,1060.5773710631736
9,21,14,30,20,50,1007.5700267397556
9,21,14,30,20,62,1080.6548900086598
9,21,14,30,28,38,1037.6485304284683
9,21,14,30,28,50,1099.5965408810034
9,21,14,30,28,62,1081.692940032699
9,21,14,50,14,38,1065.1584771319403
9,21,14,50,14,50,1012.1774299527737
9,21,14,50,14,62,1014.2482320060693
9,21,14,50,20,38,1049.4199342143465
9,21,14,50,20,50,1037.2345455399452
9,21,14,50,20,62,1016.388794171933
9,21,14,50,28,38,1020.4085511005926
9,21,14,50,28,50,1037.116077976279
9,21,14,50,28,62,1015.0748099616176
9,21,20,20,14,38,1044.0278457253578
9,21,20,20,14,50,1063.8727397083267
9,21,20,20,14,62,989.3485914588572
9,21,20,20,20,38,1036.578081266946
9,21,20,20,20,50,986.0752288533065
9,21,20,20,20,62,967.3493694677123
9,21,20,20,28,38,1024.585995768965
9,21,20,20,28,50,1050.0160312318376
9,21,20,20,28,62,962.8409809046868
9,21,20,25,14,38,1094.5764362396653
9,21,20,25,14,50,1127.0374483927287
9,21,20,25,14,62,1043.8184957332855
9,21,20,25,20,38,1083.299100270118
9,21,20,25,20,50,1050.250468505717
9,21,20,25,20,62,1032.5737768227532
9,21,20,25,28,38,1018.6351814265229
9,21,20,25,28,50,1107.9812702281065
9,21,20,25,28,62,1028.323743875919
9,21,20,30,14,38,1059.060740423488
9,21,20,30,14,50,1108.9236971678433
9,21,20,30,14,62,1093.1606924027117
9,21,20,30,20,38,1171.956360880227
9,21,20,30,20,50,1043.6625046546244
9,21,20,30,20,62,1082.2365281358427
9,21,20,30,28,38,1050.9578469419932
9,21,20,30,28,50,1096.941928369179
9,21,20,30,28,62,1085.8665158577303
